tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jml_utp_usaha_total_1_2_ternak;jml_utp_usaha_total_3_4_ternak;jml_utp_usaha_total_5_9_ternak;jml_utp_usaha_total_10_19_ternak;jml_utp_usaha_total_20_49_ternak;jml_utp_usaha_total_50_99_ternak;jml_utp_usaha_total_100_199_ternak;jml_utp_usaha_total_200_499_ternak;jml_utp_usaha_total_500_or_more_ternak
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4202;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310010] PAGA;53;5310;5310010;248;103;31;10;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310011] MEGO;53;5310;5310011;446;140;30;10;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310012] TANA WAWO;53;5310;5310012;334;158;46;3;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310020] LELA;53;5310;5310020;376;163;66;17;2;1;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310030] BOLA;53;5310;5310030;244;88;27;1;2;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310031] DORENG;53;5310;5310031;209;78;15;3;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310032] MAPITARA;53;5310;5310032;136;102;35;11;13;1;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310040] TALIBURA;53;5310;5310040;532;208;87;8;5;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310041] WAIGETE;53;5310;5310041;548;233;100;15;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310042] WAIBLAMA;53;5310;5310042;177;72;25;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310050] KEWAPANTE;53;5310;5310050;247;78;30;4;0;1;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310051] HEWOKLOANG;53;5310;5310051;152;61;29;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310052] KANGAE;53;5310;5310052;378;167;65;17;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310061] PALUE;53;5310;5310061;144;41;11;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310062] KOTING;53;5310;5310062;91;32;15;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310063] NELLE;53;5310;5310063;67;40;19;0;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310070] NITA;53;5310;5310070;372;155;54;12;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310071] MAGEPANDA;53;5310;5310071;258;95;48;12;5;0;1;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310080] ALOK;53;5310;5310080;144;77;31;4;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310081] ALOK BARAT;53;5310;5310081;153;90;50;10;1;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310082] ALOK TIMUR;53;5310;5310082;260;175;150;44;10;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310] SIKKA;53;5310;5310999;5516;2356;964;185;44;3;1;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4205;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4406;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310010] PAGA;53;5310;5310010;127;56;14;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310011] MEGO;53;5310;5310011;476;116;26;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310012] TANA WAWO;53;5310;5310012;354;160;63;1;0;0;0;0;1
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310020] LELA;53;5310;5310020;190;67;41;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310030] BOLA;53;5310;5310030;84;61;34;2;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310031] DORENG;53;5310;5310031;169;65;18;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310032] MAPITARA;53;5310;5310032;51;21;6;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310040] TALIBURA;53;5310;5310040;350;130;41;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310041] WAIGETE;53;5310;5310041;250;116;32;4;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310042] WAIBLAMA;53;5310;5310042;33;29;9;3;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310050] KEWAPANTE;53;5310;5310050;76;37;21;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310051] HEWOKLOANG;53;5310;5310051;86;60;21;3;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310052] KANGAE;53;5310;5310052;283;105;72;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310061] PALUE;53;5310;5310061;86;28;18;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310062] KOTING;53;5310;5310062;43;27;14;3;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310063] NELLE;53;5310;5310063;59;33;16;1;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310070] NITA;53;5310;5310070;131;57;59;4;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310071] MAGEPANDA;53;5310;5310071;37;17;17;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310080] ALOK;53;5310;5310080;26;6;9;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310081] ALOK BARAT;53;5310;5310081;54;19;8;3;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310082] ALOK TIMUR;53;5310;5310082;135;49;30;3;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4407;[5310] SIKKA;53;5310;5310999;3100;1259;569;35;0;0;0;0;1
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4409;[5310] SIKKA;53;5310;5310999;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4410;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0;0;0;0;0
